id;name;geoid;geoname;value;datetime
687;Precio de pago desvíos a bajar;;;26.1;2024-05-04T07:00:00+02:00
687;Precio de pago desvíos a bajar;;;28.53;2024-05-04T08:00:00+02:00
687;Precio de pago desvíos a bajar;;;19.57;2024-05-04T09:00:00+02:00
687;Precio de pago desvíos a bajar;;;2.06;2024-05-04T10:00:00+02:00
687;Precio de pago desvíos a bajar;;;0.44;2024-05-04T11:00:00+02:00
687;Precio de pago desvíos a bajar;;;0.37;2024-05-04T12:00:00+02:00
687;Precio de pago desvíos a bajar;;;0.41;2024-05-04T13:00:00+02:00
687;Precio de pago desvíos a bajar;;;0.42;2024-05-04T14:00:00+02:00
687;Precio de pago desvíos a bajar;;;0;2024-05-04T15:00:00+02:00
687;Precio de pago desvíos a bajar;;;-0.52;2024-05-04T16:00:00+02:00
687;Precio de pago desvíos a bajar;;;0.37;2024-05-04T17:00:00+02:00
687;Precio de pago desvíos a bajar;;;1.59;2024-05-04T18:00:00+02:00
687;Precio de pago desvíos a bajar;;;15.78;2024-05-04T19:00:00+02:00
687;Precio de pago desvíos a bajar;;;54.23;2024-05-04T20:00:00+02:00
687;Precio de pago desvíos a bajar;;;73.52;2024-05-04T21:00:00+02:00
687;Precio de pago desvíos a bajar;;;75.74;2024-05-04T22:00:00+02:00
687;Precio de pago desvíos a bajar;;;67.67;2024-05-04T23:00:00+02:00
687;Precio de pago desvíos a bajar;;;60.32;2024-05-05T00:00:00+02:00
687;Precio de pago desvíos a bajar;;;35.07;2024-05-05T01:00:00+02:00
687;Precio de pago desvíos a bajar;;;35.59;2024-05-05T02:00:00+02:00
687;Precio de pago desvíos a bajar;;;35.48;2024-05-05T03:00:00+02:00
687;Precio de pago desvíos a bajar;;;35.48;2024-05-05T04:00:00+02:00
687;Precio de pago desvíos a bajar;;;35.6;2024-05-05T05:00:00+02:00
687;Precio de pago desvíos a bajar;;;43.59;2024-05-05T06:00:00+02:00
687;Precio de pago desvíos a bajar;;;35.54;2024-05-05T07:00:00+02:00
687;Precio de pago desvíos a bajar;;;35.47;2024-05-05T08:00:00+02:00
687;Precio de pago desvíos a bajar;;;37;2024-05-05T09:00:00+02:00
687;Precio de pago desvíos a bajar;;;57.02;2024-05-05T10:00:00+02:00
687;Precio de pago desvíos a bajar;;;10.1;2024-05-05T11:00:00+02:00
687;Precio de pago desvíos a bajar;;;3.23;2024-05-05T12:00:00+02:00
687;Precio de pago desvíos a bajar;;;1.91;2024-05-05T13:00:00+02:00
687;Precio de pago desvíos a bajar;;;2.44;2024-05-05T14:00:00+02:00
687;Precio de pago desvíos a bajar;;;0.43;2024-05-05T15:00:00+02:00
687;Precio de pago desvíos a bajar;;;2.52;2024-05-05T16:00:00+02:00
687;Precio de pago desvíos a bajar;;;3.13;2024-05-05T17:00:00+02:00
687;Precio de pago desvíos a bajar;;;66.97;2024-05-05T18:00:00+02:00
687;Precio de pago desvíos a bajar;;;67.23;2024-05-05T19:00:00+02:00
