id;name;geoid;geoname;value;datetime
686;Precio de cobro desvíos a subir;;;5.5;2024-05-04T07:00:00+02:00
686;Precio de cobro desvíos a subir;;;-2.11;2024-05-04T08:00:00+02:00
686;Precio de cobro desvíos a subir;;;-2.66;2024-05-04T09:00:00+02:00
686;Precio de cobro desvíos a subir;;;-9.57;2024-05-04T10:00:00+02:00
686;Precio de cobro desvíos a subir;;;-10.43;2024-05-04T11:00:00+02:00
686;Precio de cobro desvíos a subir;;;-11.49;2024-05-04T12:00:00+02:00
686;Precio de cobro desvíos a subir;;;-8.8;2024-05-04T13:00:00+02:00
686;Precio de cobro desvíos a subir;;;-16.17;2024-05-04T14:00:00+02:00
686;Precio de cobro desvíos a subir;;;-19.35;2024-05-04T15:00:00+02:00
686;Precio de cobro desvíos a subir;;;-13.84;2024-05-04T16:00:00+02:00
686;Precio de cobro desvíos a subir;;;-8.93;2024-05-04T17:00:00+02:00
686;Precio de cobro desvíos a subir;;;-2.07;2024-05-04T18:00:00+02:00
686;Precio de cobro desvíos a subir;;;-1.55;2024-05-04T19:00:00+02:00
686;Precio de cobro desvíos a subir;;;-0.2;2024-05-04T20:00:00+02:00
686;Precio de cobro desvíos a subir;;;8.02;2024-05-04T21:00:00+02:00
686;Precio de cobro desvíos a subir;;;8.55;2024-05-04T22:00:00+02:00
686;Precio de cobro desvíos a subir;;;6.5;2024-05-04T23:00:00+02:00
686;Precio de cobro desvíos a subir;;;16.5;2024-05-05T00:00:00+02:00
686;Precio de cobro desvíos a subir;;;17.05;2024-05-05T01:00:00+02:00
686;Precio de cobro desvíos a subir;;;35.59;2024-05-05T02:00:00+02:00
686;Precio de cobro desvíos a subir;;;35.48;2024-05-05T03:00:00+02:00
686;Precio de cobro desvíos a subir;;;35.48;2024-05-05T04:00:00+02:00
686;Precio de cobro desvíos a subir;;;17.22;2024-05-05T05:00:00+02:00
686;Precio de cobro desvíos a subir;;;27.31;2024-05-05T06:00:00+02:00
686;Precio de cobro desvíos a subir;;;26.54;2024-05-05T07:00:00+02:00
686;Precio de cobro desvíos a subir;;;9.59;2024-05-05T08:00:00+02:00
686;Precio de cobro desvíos a subir;;;4.78;2024-05-05T09:00:00+02:00
686;Precio de cobro desvíos a subir;;;2.39;2024-05-05T10:00:00+02:00
686;Precio de cobro desvíos a subir;;;0.09;2024-05-05T11:00:00+02:00
686;Precio de cobro desvíos a subir;;;-6.35;2024-05-05T12:00:00+02:00
686;Precio de cobro desvíos a subir;;;0;2024-05-05T13:00:00+02:00
686;Precio de cobro desvíos a subir;;;-7.63;2024-05-05T14:00:00+02:00
686;Precio de cobro desvíos a subir;;;-16;2024-05-05T15:00:00+02:00
686;Precio de cobro desvíos a subir;;;-5.79;2024-05-05T16:00:00+02:00
686;Precio de cobro desvíos a subir;;;0.01;2024-05-05T17:00:00+02:00
686;Precio de cobro desvíos a subir;;;0.14;2024-05-05T18:00:00+02:00
686;Precio de cobro desvíos a subir;;;1.74;2024-05-05T19:00:00+02:00
686;Precio de cobro desvíos a subir;;;26.87;2024-05-05T20:00:00+02:00
686;Precio de cobro desvíos a subir;;;35.79;2024-05-05T21:00:00+02:00
686;Precio de cobro desvíos a subir;;;45.27;2024-05-05T22:00:00+02:00
686;Precio de cobro desvíos a subir;;;35.91;2024-05-05T23:00:00+02:00
686;Precio de cobro desvíos a subir;;;64.35;2024-05-06T00:00:00+02:00
686;Precio de cobro desvíos a subir;;;55.99;2024-05-06T01:00:00+02:00
686;Precio de cobro desvíos a subir;;;59.37;2024-05-06T02:00:00+02:00
686;Precio de cobro desvíos a subir;;;55.85;2024-05-06T03:00:00+02:00
686;Precio de cobro desvíos a subir;;;37.98;2024-05-06T04:00:00+02:00
686;Precio de cobro desvíos a subir;;;37.78;2024-05-06T05:00:00+02:00
686;Precio de cobro desvíos a subir;;;37.12;2024-05-06T06:00:00+02:00
686;Precio de cobro desvíos a subir;;;51.45;2024-05-06T07:00:00+02:00
686;Precio de cobro desvíos a subir;;;45.02;2024-05-06T08:00:00+02:00
686;Precio de cobro desvíos a subir;;;44.13;2024-05-06T09:00:00+02:00
686;Precio de cobro desvíos a subir;;;38.19;2024-05-06T10:00:00+02:00
686;Precio de cobro desvíos a subir;;;31.21;2024-05-06T11:00:00+02:00
686;Precio de cobro desvíos a subir;;;20.46;2024-05-06T12:00:00+02:00
686;Precio de cobro desvíos a subir;;;6.69;2024-05-06T13:00:00+02:00
686;Precio de cobro desvíos a subir;;;1.4;2024-05-06T14:00:00+02:00
686;Precio de cobro desvíos a subir;;;5.08;2024-05-06T15:00:00+02:00
686;Precio de cobro desvíos a subir;;;4.36;2024-05-06T16:00:00+02:00
686;Precio de cobro desvíos a subir;;;5;2024-05-06T17:00:00+02:00
686;Precio de cobro desvíos a subir;;;7.45;2024-05-06T18:00:00+02:00
686;Precio de cobro desvíos a subir;;;0.79;2024-05-06T19:00:00+02:00
686;Precio de cobro desvíos a subir;;;16.55;2024-05-06T20:00:00+02:00
686;Precio de cobro desvíos a subir;;;37.38;2024-05-06T21:00:00+02:00
686;Precio de cobro desvíos a subir;;;44.26;2024-05-06T22:00:00+02:00
686;Precio de cobro desvíos a subir;;;37.83;2024-05-06T23:00:00+02:00
686;Precio de cobro desvíos a subir;;;47.13;2024-05-07T00:00:00+02:00
686;Precio de cobro desvíos a subir;;;46.93;2024-05-07T01:00:00+02:00
686;Precio de cobro desvíos a subir;;;16.68;2024-05-07T02:00:00+02:00
686;Precio de cobro desvíos a subir;;;27.01;2024-05-07T03:00:00+02:00
686;Precio de cobro desvíos a subir;;;16.06;2024-05-07T04:00:00+02:00
686;Precio de cobro desvíos a subir;;;23.83;2024-05-07T05:00:00+02:00
686;Precio de cobro desvíos a subir;;;21.44;2024-05-07T06:00:00+02:00
686;Precio de cobro desvíos a subir;;;49.8;2024-05-07T07:00:00+02:00
686;Precio de cobro desvíos a subir;;;8.57;2024-05-07T08:00:00+02:00
686;Precio de cobro desvíos a subir;;;-4.47;2024-05-07T09:00:00+02:00
686;Precio de cobro desvíos a subir;;;-6.81;2024-05-07T10:00:00+02:00
686;Precio de cobro desvíos a subir;;;-4.42;2024-05-07T11:00:00+02:00
686;Precio de cobro desvíos a subir;;;-6.96;2024-05-07T12:00:00+02:00
686;Precio de cobro desvíos a subir;;;-0.53;2024-05-07T13:00:00+02:00
686;Precio de cobro desvíos a subir;;;-0.54;2024-05-07T14:00:00+02:00
686;Precio de cobro desvíos a subir;;;-4.9;2024-05-07T15:00:00+02:00
686;Precio de cobro desvíos a subir;;;-12.84;2024-05-07T16:00:00+02:00
